timestamp_ms,ax,ay,az,gx,gy,gz,wheel_pulse
387620,290,-319,4166,355,498,-482,236
387625,-160,-1034,461,116,755,-276,236
387630,449,-468,3198,-295,-528,67,236
387635,135,94,3110,23,-324,300,236
387640,-70,396,1046,-63,-268,318,236
387645,-34,1175,4914,-403,-1287,212,236
387650,-36,-158,5750,-202,-829,-78,236
387655,508,246,4153,-149,-772,-152,236
387660,506,-914,7204,-382,-1196,-177,236
387665,437,-715,5583,-11,-328,21,236
387670,214,-264,4646,-75,-105,290,236
387675,305,-102,4044,20,-84,368,236
387680,164,422,3029,-71,37,338,236
387685,323,527,5086,-124,-192,101,236
387690,674,735,3282,-353,127,-242,236
387695,661,-772,3388,-419,-266,-528,236
387700,321,158,5257,235,-788,-534,236
387705,64,467,4841,762,-554,-588,236
387710,503,177,5394,311,-518,-647,236
387715,261,-810,5430,66,94,-690,236
387720,424,-1570,4102,211,575,-537,236
387725,503,-970,5859,-289,221,-123,236
387730,929,-570,5600,-474,512,215,236
387735,272,-480,2891,-687,828,530,237
387740,286,603,4521,-78,157,668,237
387745,485,1275,4326,168,261,553,237
387750,97,856,2011,28,440,309,237
387755,-232,75,2681,178,38,68,237
387760,-225,-503,1376,209,-184,-100,237
387765,-280,-385,4361,279,-738,-114,237
387770,247,-55,3860,-919,-231,-88,237
387775,521,-187,3600,-225,-250,-320,237
387780,944,462,9507,345,-1045,-625,237
387785,881,-412,8673,-168,298,-686,237
387790,114,-1093,3716,-58,1366,-553,237
387795,784,-1414,2944,466,449,-277,237
387800,394,-50,4128,967,-6,96,237
387805,111,238,1637,124,285,276,237
387810,190,345,3172,-348,-471,226,237
387815,214,506,4629,-563,-546,84,237
387820,62,589,3069,-675,-79,-183,237
387825,18,643,3690,-181,-346,-610,237
387830,-2,605,4535,361,-550,-975,237
387835,441,157,7384,-965,-405,-1012,237
387840,559,-1751,6072,-623,502,-852,237
387845,441,-779,3856,-777,518,-272,237
387850,376,30,6840,-233,21,104,237
387855,320,-206,4621,-53,763,189,237
387860,31,-530,2724,-163,946,317,237
387865,10,10,4378,145,581,404,237
387870,533,1664,3888,-595,1033,239,237
387875,364,-662,3780,-387,1387,-340,237
387880,352,-470,679,551,1051,-660,237
387885,649,302,5238,113,-20,-727,237
387890,290,-556,5553,-526,339,-710,237
387895,505,-1041,5217,33,454,-604,237
387900,374,-1078,4157,-331,462,-202,237
387905,81,154,6047,203,175,115,237
387910,-51,132,3449,467,916,97,237
387915,152,353,2644,473,736,66,237
387920,346,147,4270,445,469,-123,237
387925,-178,-569,75,492,874,-352,237
387930,333,-683,3212,-152,-467,-289,237
387935,247,-161,4499,-235,-764,-71,237
387940,154,993,5357,-621,-825,48,237
387945,69,1016,5600,178,-511,-208,237
387950,284,1069,5140,590,-308,-588,237
387955,358,-341,3739,8,-140,-840,237
387960,529,-2583,7598,617,-459,-863,237
387965,385,-592,5881,845,427,-421,237
387970,402,-1184,5401,-267,556,-28,237
387975,436,-809,6050,-276,853,299,237
387980,279,-219,2188,-305,1584,520,237
387985,403,720,5852,486,665,479,237
387990,445,536,1644,1393,1343,137,237
387995,397,214,3793,956,588,25,237
388000,-109,-766,2729,1246,592,-129,237
388005,238,-604,3928,959,48,-183,237
